RUS,ENG
"Хочу поблагодарить наших дочерей – Шэннон, Джулиэт, Лорэн, их возлюбленных – Джона, Дэна, Глэйда, а также наших замечательных внучек и внуков – Софию, Бо, Брэйди и Макену.","I want to thank our daughters – Shannon, Juliet, Loren, their beloved – John, Dan, Glade, as well as our wonderful granddaughters and grandsons – Sophia, Beau, Brady, and Makenna."
"Без самоотверженности и мудрости Бонни я никогда не сумел бы не только написать эту книгу, но и достичь хотя бы тени процветания в карьере, семейной жизни и здоровье.","Without Bonnie's dedication and wisdom, I would never have been able not only to write this book, but also to achieve even a shadow of prosperity in my career, family life, and health."
"Разумеется, я в долгу перед командой профессионалов, которые сделали возможным выход в свет этой книги.","Of course, I am indebted to the team of professionals who made it possible for this book to be published."
"К ним относятся Халлина Попко, моя помощница, Джон Майерс, директор по коммерческим вопросам, касающимся сайта marsvenus.com, Марси Уинн, директор по обслуживанию клиентов, Глэйд Труитт, директор по веб-дизайну и производству видеопродукции для моих блогов, Джефф Оуэнс, директор по вопросам работы сайта askmarsvenus.com.","They include Hallina Popko, my assistant, John Myers, the director of commercial affairs relating to the site marsvenus.com, Marcy Wynn, the director of customer service, Glade Truitt, the director of web design and video production for my blogs, Jeff Owens, the director of site operations for askmarsvenus.com."
"Также благодарю всех наших коллег – специалистов по личностному росту, работающих в рамках проекта Mars Venus Life Coaches во множестве уголков земного шара.",I also thank all our colleagues – personal growth specialists working under the Mars Venus Life Coaches project in many corners of the globe.
"Особую благодарность выражаю своей дочери Лорэн за ее познавательный – уже, кстати, ставший очень популярным – видеоблог, размещенный на сайте marsvenus.com.","Special thanks to my daughter Lauren for her insightful – and, by the way, now very popular – video blog posted on marsvenus.com."
"Благодарность коллективу сайта amazon.com за то, что поддерживают меня и публикуют мои книги.",Thanks to the team at amazon.com for supporting me and publishing my books.
Благодарю Тэри Смарт и Блэйка Лефкоу за финальную вычитку.,Thank you to Terry Smart and Blake Lefkowe for the final proofreading.
Выражаю признательность огромному количеству специалистов в области здоровья и благополучия.,I express gratitude to the vast number of specialists in the fields of health and wellness.
Создание этой книги было бы невозможным без их исследований.,The creation of this book would not have been possible without their research.
"Спасибо всем тем людям, которые, применив на практике предлагаемые мной идеи, не только добились положительных перемен в личной жизни, но и помогли своим детям восстановить нормальное функционирование мозга и подарили им возможность учиться и быть счастливыми.","Thank you to all those people who, by applying my suggested ideas in practice, have not only achieved positive changes in their personal lives but also have helped their children restore normal brain function and provided them with the opportunity to learn and be happy."
Предисловие 1.,Preface 1.
"СДВГ – это рахит/полиомиелит/цинга XXI века
   Многие из вас и ваших друзей согласятся с тем, что современный мир – это беспрецедентно комфортная среда.",ADHD is the rickets/polio/scurvy of the 21st century. Many of you and your friends will agree that the modern world is an unprecedentedly comfortable environment.
Никогда еще нам не было доступно такое количество высокотехнологичных удобств.,Never before have we had access to such a number of high-tech amenities.
"В свое время наши прапрадедушки, прапрабабушки и их родители испытывали колоссальные трудности при выполнении тех повседневных задач, которые у нас сегодня отнимают минимум времени и почти не требуют усилий.","In their time, our great-great-grandfathers, great-great-grandmothers, and their parents faced tremendous difficulties in performing those everyday tasks that today take us minimal time and almost no effort."
"Наши предки вынуждены были страдать от таких болезней, как рахит, цинга, полиомиелит, и многих других, широко распространенных в конце XIX века.","Our ancestors were forced to suffer from diseases such as rickets, scurvy, poliomyelitis, and many others that were widespread at the end of the 19th century."
"В 1919 году жизни миллионов людей унес грипп, то есть заболевание, которое в наши дни становится причиной смерти крайне редко.","In 1919, millions of lives were claimed by the flu, a disease that nowadays rarely results in death."
"До недавнего времени даже процесс родов был очень рискованным как для матери, так и для ребенка.","Until recently, even the process of childbirth was very risky for both the mother and the child."
"Кроме того, в прошлом была печальной участь душевнобольных и даже тех, кто страдал только лишь от повышенной тревожности или депрессии.","Moreover, in the past, the fate of the mentally ill, and even those who only suffered from increased anxiety or depression, was grim."
Таких людей подвергали болезненному лечению электрошоком и зачастую помещали в сумасшедший дом на всю оставшуюся жизнь.,Such people were subjected to painful electroshock treatment and often placed in an insane asylum for the rest of their lives.
Человечество сумело пресечь распространение очень многих смертельно опасных недугов.,Humanity has managed to stop the spread of many deadly diseases.
"Вот почему сейчас можно с уверенностью сказать, что мы с вами живем в раю, о котором наши далекие предки не смели даже и мечтать.",That is why it can now be confidently said that we are living in a paradise our distant ancestors didn't even dare to dream about.
"Но, несмотря на прогресс в сфере медицины и технологий, мы продолжаем страдать, не так ли?","But despite the progress in medicine and technology, we continue to suffer, don't we?"
"Теперь основным источником тревог, страхов и боли является такой фундаментальный вопрос, как семейная жизнь.","Now the main source of anxiety, fears, and pain is such a fundamental issue as family life."
"С каждым годом все больше супружеских пар принимают решение развестись, а значительная часть населения вообще не желает создавать семью.","With each passing year, more and more married couples decide to divorce, and a significant portion of the population does not wish to start a family at all."
"Тревоги и страхи, касающиеся современной семейной жизни, настолько всеобъемлющи, что нелегко приходится и взрослым людям, и подросткам, и даже маленьким детям.","Anxieties and fears concerning modern family life are so overwhelming that it is not easy for adults, teenagers, or even young children."
"Обратите внимание, сегодня представители всех возрастных категорий подвержены недугам, из-за которых нормальная работа мозга затрудняется.","Please note, today representatives of all age categories are susceptible to ailments that hinder normal brain function."
"Об этом не понаслышке знают даже самые успешные, состоятельные и целеустремленные люди западного мира.","Even the most successful, wealthy, and driven people in the Western world know this firsthand."
"Расстройства и болезни, о которых идет речь, обычно обозначаются одним термином – синдром дефицита внимания и гиперактивности, или СДВГ.","Disorders and illnesses in question are usually referred to by one term – attention-deficit/hyperactivity disorder, or ADHD."
"Возможно, когда-нибудь вы замечали, что никак не можете сосредоточиться на собственных действиях или мыслях.","Perhaps, at some point, you have noticed that you cannot focus on your own actions or thoughts."
"Это состояние проявлялось либо как расстройство, имеющее прямое отношение к понятию СДВГ, либо было слабо выраженным, как это часто случается с большинством людей.","This condition manifested either as a disorder directly related to the concept of ADHD or was mildly expressed, as is often the case with most people."
"В любом случае вы наверняка помните чувство растерянности, которое испытывали в те минуты/часы/дни.","In any case, you surely remember the feeling of confusion you experienced during those minutes/hours/days."
"Злая ирония заключается в том, что такие расстройства и заболевания чаще поражают тех, кто отличается блестящими мыслительными способностями и очень богатым воображением.",The cruel irony is that such disorders and diseases more often afflict those who have brilliant intellectual capacities and a very rich imagination.
"Печальные итоги широкой распространенности СДВГ таковы: миллионы современных малышей, подростков и взрослых испытывают значительные трудности при выполнении обыкновенных повседневных действий.","The sad consequences of the widespread prevalence of ADHD are as follows: millions of modern children, adolescents, and adults experience significant difficulties in performing ordinary daily activities."
"А источников стресса в нашем безумном мире столько, что все мы зачастую ощущаем себя физически беспомощными и морально «парализованными».","And there are so many sources of stress in our crazy world that we often feel physically helpless and morally ""paralyzed."""
В наши дни сплошь и рядом возникает следующая проблема.,"These days, the following problem arises frequently."
"Какому-нибудь сотруднику поручают выполнить важное задание, договариваются с ним о дэдлайне, то есть крайнем сроке выполнения, и он, полный энтузиазма, намеревается приступить к работе.","An employee is assigned an important task, a deadline is agreed upon, and he, full of enthusiasm, intends to start working."
"Человек искренне уверен, что никого не подведет.",A person is sincerely confident that they will not let anyone down.
"Но уже через несколько часов он чувствует, что его вдруг тянет отвлечься.","But just a few hours later, he feels suddenly tempted to get distracted."
"И начинается: фейсбук, электронная почта, перекус, просмотр свежих новостей на канале «Си-эн-эн», отправка sms-сообщений, написание «твитов» и так далее.","And it begins: Facebook, email, a snack, checking the latest news on CNN, sending text messages, writing tweets, and so on."
"Цепочка отвлекающих занятий становится настолько длинной и заманчивой, что не прекращается до самой последней минуты рабочего дня.",The chain of distracting activities becomes so long and enticing that it doesn't end until the very last minute of the workday.
"Наш «трудяга», чувствуя, что его мозг перегружен информацией, разумеется, ощущает усталость и жаждет поскорее упасть на кровать.","Our ""workhorse"", feeling that his brain is overloaded with information, naturally feels tired and longs to fall into bed as soon as possible."
"Никакого прогресса в запланированном делеза прошедший день ему, естественно, достичь не удалось.",He naturally failed to make any progress in the planned task over the past day.
"Наверное, вы и сами когда-нибудь были на месте такого работника.",You have probably been in such a worker's position yourself at some point.
"Решить проблемы, связанные с неумением сосредоточиваться, трудно потому, что сегодня они не считаются чем-то заслуживающим внимания.",It is difficult to solve problems related to the inability to concentrate because they are not considered something worthy of attention today.
"Если вы страдаете СДВГ, вас, вероятно, нередко называют безответственным, расхлябанным, неорганизованным или даже глупым человеком, который просто не желает ответственно подходить к выполнению своих обязанностей.","If you suffer from ADHD, you are likely often called an irresponsible, sloppy, disorganized, or even foolish person who simply refuses to responsibly approach fulfilling their duties."
"Таким образом, вас постепенно исключают из общества успешных людей.","Thus, you are gradually excluded from the society of successful people."
"Но чем дальше вы от своего круга общения, тем сильнее стресс, который вам приходится испытывать, и тем труднее фокусироваться на выполнении поручаемых заданий.","The further you are from your social circle, the more stress you experience, and the harder it is to focus on completing assigned tasks."
"Если у вас СДВГ, то, скорее всего, родные и друзья стараются вам не доверять.","If you have ADHD, your family and friends are likely trying not to trust you."
"Хуже всего то, что вы и сами перестаете доверять себе.",The worst part is that you start to lose trust in yourself.
"Когда вам нужно заполнить налоговую декларацию, составить отчет или детальный план по оказанию помощи нуждающимся, вы с самого начала понимаете, что нарушенное мышление не позволит вам продвинуться далеко.","When you need to fill out a tax return, draft a report, or create a detailed plan to help those in need, you understand from the start that disrupted thinking will not allow you to get far."
"Так неспособность концентрироваться на насущных задачах становится основным препятствием, мешающим вам верить в свои силы и воплощать мечты в реальность.","Thus, the inability to concentrate on essential tasks becomes the main obstacle preventing you from believing in yourself and turning dreams into reality."
"Я и сам страдал от подобных проблем, причем страдал большую часть своей жизни.","I myself have suffered from similar problems, and in fact, I've suffered for most of my life."
У меня был СДВГ в относительно легкой форме.,I had relatively mild ADHD.
Из-за этого расстройства мне не всегда удавалось справляться с поручениями хорошо и в срок.,"Because of this disorder, I was not always able to handle assignments well and on time."
"Так что я не раз подводил людей, хотя всегда обещал и им, и самому себе прилагать максимум усилий.","So I have let people down more than once, even though I always promised both them and myself to put in maximum effort."
"Каждый раз, приступая к делу с энтузиазмом, уже спустя пару часов я понимал, что мышление и внимание наотрез отказываются слушаться меня, и откладывал работу на потом.","Every time I started a task with enthusiasm, within a couple of hours I realized that my thinking and attention refused to obey me, and I postponed the work until later."
"Степень риска возникновения СДВГ и ход его развития зависят от химических процессов, происходящих в головном мозге.",The degree of risk of developing ADHD and its progression depend on the chemical processes occurring in the brain.
"А характер их протекания, в свою очередь, определяется наследственностью и влиянием окружающей среды.","And the nature of their course, in turn, is determined by heredity and environmental influences."
Вот почему проблемы с концентрацией внимания часто передаются от старшего поколения младшему.,That is why attention difficulties are often passed down from the older generation to the younger one.
"У детей, чьи родители страдают СДВГ, скорее всего, тоже проявится этот синдром.",Children whose parents have ADHD are more likely to develop the syndrome as well.
Так случилось в нашей семье.,It happened in our family.
"В определенный момент мой младший сын стал учиться хуже, чем раньше.","At a certain point, my younger son started doing worse in school than before."
"Он много раз обещал учителям, что исправится, но время шло, а проблема не разрешалась.","He promised the teachers many times that he would improve, but time went by and the problem remained unsolved."
Четверть за четвертью его оценки становились все ниже и ниже.,"Quarter by quarter, his grades kept getting lower and lower."
"Я старался контролировать сына в процессе выполнения домашних заданий, однако было очевидно, что мое участие не действует на его работу в классе.","I tried to supervise my son's homework, but it was clear that my involvement didn't affect his work in class."
"Мальчик медленно, но верно терял интерес не только к занятиям в школе, но даже к своим увлечениям и каким бы то ни было планам на будущее.","The boy was slowly but surely losing interest not only in school activities, but even in his hobbies and any plans for the future."
"Он уже смирился с тем, что учителя считали его невнимательным и ленивым.",He had already come to terms with the fact that teachers considered him inattentive and lazy.
"В общем, трудности, связанные со здоровьем, были тогда и у сына, и у меня.","In general, health-related difficulties were experienced both by my son and me at that time."
"К счастью, тогда мне удалось посетить семинары для мужчин, которые проводил Джон Грэй.","Fortunately, I was able to attend the men's seminars conducted by John Gray at that time."
На тот момент мы были знакомы уже почти 35 лет.,"At that time, we had known each other for almost 35 years."
"Он рассказал мне о самых простых и эффективных средствах, с помощью которых можно победить СДВГ.",He told me about the simplest and most effective means by which ADHD can be overcome.
"Это натуральные вещества на основе растений и различные полезные продукты, способные эффективно заменить ряд медикаментов, как, например, «Риталин»[1].","These are natural plant-based substances and various beneficial products that can effectively replace a number of medications, such as Ritalin."
"По совету Джона я начал употреблять коктейли с натуральным сывороточным протеином, экстракт виноградных косточек и метаболические вещества, называемые «оротаты».","On John's advice, I started consuming shakes with natural whey protein, grape seed extract, and metabolic substances called ""orotates."""
"Также Джон рекомендовал на завтрак есть яйца, и я сделал, как он сказал.","John also recommended having eggs for breakfast, and I did as he said."
"Таким образом, я изменил характер своего питания, а вскоре стал регулярно выполнять физические упражнения.","Thus, I changed my eating habits, and soon began to exercise regularly."
"Мне пришлось скорректировать свой образ жизни, но могу с уверенностью сказать, что это было не так уж сложно и к тому же не потребовало от меня больших денежных расходов.","I had to adjust my lifestyle, but I can confidently say it wasn't too difficult and didn't require a lot of money."
Я заметил значительное улучшение в работе своего мышления и даже смог всего за три месяца написать хорошую книгу.,I noticed a significant improvement in my thinking and was even able to write a good book in just three months.
В прошлом на такое дело у меня уходило несколько лет.,"In the past, it used to take me several years to do such a thing."
"Поскольку совершенствовать свой стиль жизни у меня получалось более или менее быстро и легко, я довольно скоро нашел возможность уделять больше внимания людям, нуждающимся в помощи.","Since I was able to improve my lifestyle more or less quickly and easily, I soon found the opportunity to pay more attention to people in need of help."
"Главное достижение заключалось в том, что мой сын тоже сумел скорректировать свою жизнь, следуя моему примеру.",The main achievement was that my son also managed to adjust his life by following my example.
"Он закончил школу с отличными результатами и сейчас занимается делом, которое ему по душе: работает инструктором по катанию на лыжах в одном из самых известных американских горнолыжных курортов.",He graduated from school with excellent results and is now doing what he loves: working as a ski instructor at one of the most famous American ski resorts.
В свои 18 лет он с удовольствием готовит детей к выступлениям на соревнованиях в масштабе страны.,"At the age of 18, he enjoys preparing children for performances in national competitions."
"Наш парень живет той жизнью, о которой раньше не мог даже мечтать, и уже неплохо зарабатывает.",Our guy is living a life he couldn't have even dreamed of before and is already earning quite well.
А ведь все могло пойти по худшему сценарию.,But everything could have gone according to a worse scenario.
"Рано или поздно у мальчика могли диагностировать то или иное расстройство, связанное с психикой, и назначить курс приема какого-нибудь специального препарата.","Sooner or later, the boy might be diagnosed with some kind of mental disorder and prescribed a course of some special medication."
"Скорее всего, из-за своего недуга он был бы вынужден стать настоящим отщепенцем.","Most likely, due to his ailment, he would have been forced to become a true outcast."
Такое случилось с несколькими его ровесниками.,This happened to several of his peers.
"Если же взглянуть на проблему в более широком смысле, то нельзя не заметить печальную статистику: подобные расстройства и заболевания ежегодно превращают в изгоев и неудачников миллионы детей.","However, if we look at the problem in a broader sense, one cannot help but notice the grim statistics: such disorders and diseases annually turn millions of children into outcasts and failures."
"Трагичность проблемы в том, что, во-первых, далеко не всегда удается диагностировать СДВГ заблаговременно, а во-вторых, очень трудно вылечить его общепринятыми аллопатическими методами[2].","The tragedy of the problem is that, firstly, it is often not possible to diagnose ADHD in advance, and secondly, it is very difficult to treat it with conventional allopathic methods."
"СДВГ – это, если хотите, рахит/полиомиелит/цинга XXI века.","ADHD is, if you will, the rickets/polio/scurvy of the 21st century."
"Мой сын, слава богу, не попал в число несчастных, которые обречены стать жертвой этого синдрома.","My son, thank God, did not end up among the unfortunate who are doomed to become victims of this syndrome."
"И помогла нам не традиционная медицина, а рекомендации Джона Грэя – человека, взявшего на себя смелость подвергнуть сомнению постулаты, на которых базируется современная система здравоохранения.","And it wasn't traditional medicine that helped us, but the recommendations of John Gray – a man who took the bold step of questioning the postulates upon which the modern healthcare system is based."
"Как не терять ориентиры и быть успешным в мире, движущемся уже не просто быстро, а с бешеной скоростью?","How not to lose direction and be successful in a world that is moving not just quickly, but at a frantic pace?"
"Если хотите узнать ответ, то эта книга – для вас.","If you want to find out the answer, then this book is for you."
"Ее отважный и мудрый автор решил помочь читателям справиться с одной из самых серьезных проблем человечества, вынужденного приспосабливаться к противоестественному ритму современной жизни.","Its brave and wise author decided to help readers cope with one of the most serious problems of humanity, forced to adapt to the unnatural rhythm of modern life."
"Имя этой проблемы – СДВГ, то есть синдром дефицита внимания с гиперактивностью.","The name of this condition is ADHD, which stands for Attention Deficit Hyperactivity Disorder."
"Арджуна Арда, основатель проекта «Коучинг пробуждения» (Awakening Coaching), автор восьми книг, в том числе «Лучше, чем секс» (Better than Sex)
   Предисловие 2.","Arjuna Ardagh, the founder of the Awakening Coaching project, author of eight books including ""Better than Sex""  
   Foreword 2."
«Теперь все хорошо!,Everything is fine now!
"Я могу жить нормальной жизнью»
   Мало кто из нас осмеливается пробовать что-то новое.",I can live a normal life. Few of us dare to try something new.
"Если мы и собираемся что-либо менять, то, как правило, только в мелочах.","If we are going to change anything, it is usually only in small details."
На большее не хватает решимости и трудолюбия.,Lack of determination and diligence prevent greater achievements.
"И все же советую каждому, кто задумал перемены, как следует напрячься и выжать из этого дела максимум.","And yet, I advise anyone considering making changes to really push themselves and get the most out of it."
"Редко бывает так, что вы встречаете личность, способную изменить к лучшему вашу жизнь и жизнь ваших детей, причем изменить кардинально и навсегда.","It is rare to meet a person capable of changing your life and the lives of your children for the better, drastically and forever."
Мне посчастливилось встретить именно такого человека.,I was fortunate to meet exactly this kind of person.
"Это выдающийся мыслитель и искусный практик, движимый страстным желанием делиться с людьми своими уникальными знаниями.",This is an outstanding thinker and skilled practitioner driven by a passionate desire to share his unique knowledge with people.
Он самым значительным образом повлиял на меня и на моего сына.,He influenced me and my son in the most significant way.
А теперь подробнее.,And now in more detail.
"Крутой поворот в моей жизни начался с того, что в 2003 году прекрасным августовским днем я встретил известнейшего писателя по имени Джон Грэй.",A major turning point in my life began on a beautiful August day in 2003 when I met the famous writer named John Gray.
Он проводил автограф-сессию по случаю выхода в свет своей новой книги «Марс и Венера.,"He held an autograph session on the occasion of the release of his new book ""Mars and Venus."""
Диета и упражнения».,"""Diet and exercise."""
"Подписывая мой экземпляр книги, знаменитый на весь мир автор поинтересовался, как у меня обстоят дела с семейной жизнью.","While signing my copy of the book, the world-famous author inquired about how my family life was going."
"Я сказал, что воспитываю двух замечательных сыновей, Дрю и Колина, добавив, что старший, Дрю, завершает обучение в Колорадском университете в городе Боулдере, а Колин обладает всеми задатками перспективного атлета и горит желанием развиваться в этом направлении.","I said that I am raising two wonderful sons, Drew and Colin, adding that the elder, Drew, is finishing his studies at the University of Colorado in Boulder, and Colin has all the makings of a promising athlete and is eager to develop in this direction."
"Было еще кое-что – кое-что не очень приятное для меня, – о чем я, слава богу, все-таки решился рассказать Джону.","There was something else - something not very pleasant for me - which, thank God, I finally decided to tell John about."
"Я признался, что, к сожалению, у Колина есть проблемы с удержанием внимания, а также повышенная тревожность и склонность к депрессиям.","I admitted that unfortunately, Colin has issues with maintaining attention, as well as increased anxiety and a tendency towards depression."
"(Кстати, по статистике, от подобных проблем страдает пугающе большое количество современных детей.)
   «Джон, – сказал я, – честно говоря, у меня сердце кровью обливается, когда я вижу, как наш Колин изо всех сил, но, к несчастью, безуспешно пытается преодолеть трудности, возникающие из-за этих расстройств.","""John,"" I said, ""honestly, my heart breaks when I see our Colin trying his best, but unfortunately unsuccessfully, to overcome the difficulties arising from these disorders."""
"Еще страшнее осознавать, что я уже сделал все, что только можно было сделать».",Even more frightening is the realization that I have already done everything that could be done.
"Было видно, что Джон Грэй проникся искренним сочувствием, а потом задал простой вопрос – столь неожиданный по своей простоте, что я, наверное, запомню его на всю оставшуюся жизнь: «Питер, как твой сын питается?»
   Я ответил, что Колин налегает на гамбургеры, чизбургеры, жареную картошку, почти не ест овощи и пьет много лимонада.","It was clear that John Gray was filled with genuine sympathy and then asked a simple question—so unexpectedly simple that I will probably remember it for the rest of my life: ""Peter, how is your son eating?"" I replied that Colin is keen on hamburgers, cheeseburgers, and fries, barely eats vegetables, and drinks a lot of lemonade."
